linkDescription,hours
"Business Hour : 11.00 am to 8.00pm 
Open daily 
Updated 20/3/2022

",11.00 am to 8.00pm
"Business Hour : 6.30am to 11.30am ; 1st & 15th of lunar month 5.00am to 11.30am
Rest day : uncertain ( 2 days per months )
Updated 12/4/2022",6.30am to 11.30am ; 1st & 15th of lunar month 5.00am to 11.30am
"Business Hour : 8.00am to 2.00pm  
Rest day : uncertain (twice a month Wednesday & Thursday continuously) 
Updated 24/3/2022",8.00am to 2.00pm
"Business Hour : 6.30am to 1.30pm 
Rest day : weekends 
Updated 17/3/2022

",6.30am to 1.30pm
"Business Hours: 10.15am to 5.30pm
Rest day : Sunday & Public Holidays 
Updated 31/3/2022

",
"Business Hour : 7.00am to 5.00pm
Open daily 
Updated 31/3/2022",7.00am to 5.00pm
"Business Hour : 10.30am to 2.30 , 6.00pm to 10.00pm
Rest day: Wednesday 
Updated 24/3/2022
","10.30am to 2.30 , 6.00pm to 10.00pm"
"Business Hour : 7.00am to 2.00pm
Rest day : uncertain 
Updated 25/4/2022",7.00am to 2.00pm
"Business Hour : 7.30am to 3.00pm
Open daily
Updated 7/4/2022",7.30am to 3.00pm
"Business Hour : 9.30am to 2.30pm , 5.30pm to 7.30pm ; 1st & 15th of lunar month 7.00am to 2.30pm , 5.30pm to 7.30pm 
Rest day : Wednesday 
Updated 11/4/2022




","9.30am to 2.30pm , 5.30pm to 7.30pm ; 1st & 15th of lunar month 7.00am to 2.30pm , 5.30pm to 7.30pm"
"Business Hour : 8.30am to 2.30pm
Open daily  
Updated 4/4/2022",8.30am to 2.30pm
"Business Hour : 7.30am to 3.00pm
Rest day : Sunday 
Updated 6/4/2022",7.30am to 3.00pm
"Business Hour : 9.00am to 6.00pm ; weekends 9.00am to 5.00pm
Rest day : Thursday
Updated 31/7/2022

",9.00am to 6.00pm ; weekends 9.00am to 5.00pm
"Business Hour : 9.30am to 10.00pm
Open daily
Updated 20/4/2022",9.30am to 10.00pm
"Business Hour : 11.30am to 3.00pm , 6.00pm to 9.00pm ; Weekends, Public Holidays, 1st & 15th of lunar month 9.00am to 3.00pm , 6.00pm to 10.00pm
Rest day : Monday
Updated 11/7/2022","11.30am to 3.00pm , 6.00pm to 9.00pm ; Weekends, Public Holidays, 1st & 15th of lunar month 9.00am to 3.00pm , 6.00pm to 10.00pm"
"Business Hour : 7.00am to 10.00am Rest day : uncertain (usually on Sunday) 
Updated 4/4/2022",7.00am to 10.00am
"Business Hour : 9.30am to 2.30pm , 5.00pm to 9.00pm ; 1st & 15th of lunar month 6.30am to 2.30pm , 5.00pm to 9.00pm 
Rest day : Sunday  
Updated 6/4/2022

","9.30am to 2.30pm , 5.00pm to 9.00pm ; 1st & 15th of lunar month 6.30am to 2.30pm , 5.00pm to 9.00pm"
"Business Hour : 10.45am to 9.00pm ; Friday & Saturday 10.00am to 10.00pm 
Open daily
Updated 12/4/2022

",10.45am to 9.00pm ; Friday & Saturday 10.00am to 10.00pm
"Business Hour : 6.30pm to 1.30am
Rest day : uncertain (2 days in a month)
Updated 15/6/2022",6.30pm to 1.30am
"Business Hour : 10.00am to 2.30pm , 5.00pm to 9.00pm
Rest day : uncertain
Updated 14/5/2022","10.00am to 2.30pm , 5.00pm to 9.00pm"
"Business Hour : 6.30am to 4.00pm ; 1st & 15th of lunar month 6.00am to 8.30pm
Rest day : Thursday 
Updated 22/8/2022",6.30am to 4.00pm ; 1st & 15th of lunar month 6.00am to 8.30pm
"Business Hour : 7.00am to 1.30pm       
Rest day : alternate Tuesday      
Updated 4/5/2022",7.00am to 1.30pm
"Business Hour : 9.00am to 2.30pm, 5.30pm to 8.45pm ; 1st & 15th of lunar month 7.00am to 2.30pm , 5.30pm to 8.45pm
Rest day : Sunday 
Updated 24/3/2022






","9.00am to 2.30pm, 5.30pm to 8.45pm ; 1st & 15th of lunar month 7.00am to 2.30pm , 5.30pm to 8.45pm"
"Business Hour : 8.00am to 2.30pm 
Rest day : weekends
Updated 23/5/2022",8.00am to 2.30pm
Business Hour : 7.00am to 1.00pm Rest day : Monday & Tuesday Updated 18/4/2022,7.00am to 1.00pm
"Business Hour : 11.30am to 10.30pm 
Open daily
Updated 30/4/2022",11.30am to 10.30pm
"Business Hour : 11.00am to 6.00pm 
Rest day : Sunday 
Updated 31/3/2022

",11.00am to 6.00pm
"Business Hour : 11.30am to 8.30pm 
Rest day : Thursday Updated 29/3/2022",11.30am to 8.30pm
"Business Hour : 7.45am to 3.30pm
Rest day : uncertain Sunday , 2nd & 16th of lunar month
Updated 29/3/2022",7.45am to 3.30pm
"Business Hour : 7.00am to 2.30pm  
Rest day : Monday 
Updated 26/2/2022	",7.00am to 2.30pm
"Business Hour: 7.00am to 2.00pm 
Rest day : Wednesday & Sunday 
Updated 24/3/2022",
"Business Hour : 6.30am to 10.00am 
Rest day : Monday
Updated 29/3/2022
",6.30am to 10.00am
"Business Hour : 12.00pm to 6.30pm
Open daily
Updated 2/4/2022",12.00pm to 6.30pm
"Business Hour : 6.30am to 2.30pm 
Rest day : Wednesday 
Updated 12/4/2022",6.30am to 2.30pm
"Business Hour : 7.00am to 1.30pm 
Rest day : Sunday
Updated 29/3/2022",7.00am to 1.30pm
"Business Hour: 4.00pm to 12.00am  
Open daily 
Updated 24/3/2022	",
"Business Hour : 7.30am to 3.00pm
Rest day : Sunday 
Updated 24/3/2022",7.30am to 3.00pm
"Business Hour : 8.30am to 2.30pm 
Rest day : Thursday Updated 28/3/2022",8.30am to 2.30pm
"Business Hour: 6.30am to 2.30pm  
Rest day : Sunday and Public Holidays
Updated 31/3/2022",
"Business Hour : 10.00am to 3.00pm , 5.00pm to 8.00pm ; weekends 9.00am to 3.00pm , 5.00pm to 8.00pm ; 1st & 15th of lunar month 8.00am to 3.00pm , 5.00pm to 8.00pm 
Open daily 
Updated 29/3/2022


","10.00am to 3.00pm , 5.00pm to 8.00pm ; weekends 9.00am to 3.00pm , 5.00pm to 8.00pm ; 1st & 15th of lunar month 8.00am to 3.00pm , 5.00pm to 8.00pm"
"Business Hour : 10.00am to 2.30pm , 5.00pm to 9.00pm Open daily 
Updated 29/3/2022","10.00am to 2.30pm , 5.00pm to 9.00pm"
"Business Hour : 7.00am to 3.00pm
Rest day : alternate Sunday  
Updated 8/9/2022",7.00am to 3.00pm
"Business Hour : 8.30am to 4.00pm
Rest day : Tuesday (including 1st & 15th of lunar month)
Updated 8/5/2022",8.30am to 4.00pm
"Business Hour : 7.30am to 1.30pm Rest day : Tuesday (including 1st & 15th of lunar month)
Updated 11/4/2022",7.30am to 1.30pm
"Business Hour : 8.00am to 2.00pm 
Rest day : Wednesday ＆ Thursday  
Updated 4/5/2022
",8.00am to 2.00pm
"Business Hour : 8.00am to 9.00pm
Rest day : Saturday
Updated 20/4/2022",8.00am to 9.00pm
"Business Hour : 10.00am to 8.00pm 
Open daily
Updated 24/5/2022",10.00am to 8.00pm
"Business Hour : 9.30am to 8.00pm ; Sunday 9.30am to 3.00pm 
Rest day : Tuesday 
Updated 31/3/2022",9.30am to 8.00pm ; Sunday 9.30am to 3.00pm
"Business Hour : 6.00am to 11.00am
Rest day : alternate Thursday 
Updated 7/4/2022",6.00am to 11.00am
"Business Hour : 7.00am to 2.00pm  
Rest day : Tuesday
Updated 23/4/2022",7.00am to 2.00pm
Business Hour : 5.00pm to 9.00pm Rest day : uncertain Updated 2/8/2022,5.00pm to 9.00pm
"Business Hour : 6.00am to 1.30pm  
Rest day : 2nd & 16th lunar month 
Updated 4/7/2022",6.00am to 1.30pm
"Business Hour : 7.00am to 1.00pm 
Rest day : Monday
Updated 25/7/2022",7.00am to 1.00pm
"Business Hour : 7.00am to 7.00pm 
Open daily
Updated 25/5/2022",7.00am to 7.00pm
"Business Hour : 7.30am to 11.30am 
Rest day : Monday , Tuesday & Wednesday
Updated 6/5/2022",7.30am to 11.30am
"Business Hour : 7.00am to 1.00pm
Rest day : alternate Monday & Tuesday  
Updated 18/4/2022",7.00am to 1.00pm
"Business Hour : 7.00am to 11.00am
Rest day : Sunday & Monday  Updated 12/4/2022",7.00am to 11.00am
"Business Hour : 5.30am to 11.30am 
Rest day : Monday & Tuesday
Updated 6/5/2022",5.30am to 11.30am
"Business Hour : 7.30am to 2.00pm
Rest day : Friday (if 1st & 15th of lunar month , next day will be their rest day)
Updated 6/5/2022",7.30am to 2.00pm
"Business Hour: 7.30am to 3.00pm 
Rest day: Monday (if 1st & 15th of lunar month fall on Monday, next day will be their rest day)
Updated 19/4/2022",
"Business Hour : 7.00am to 12.30pm 
Open daily 
Updated 22/5/2022",7.00am to 12.30pm
"Business Hour : only open on Saturday & Sunday 9.00am to 1.30pm  
Updated 17/8/2022


",
"Business Hour: 6.00am to 1.00pm 
Rest day: alternate Wednesday 
Updated 21/5/2022",
"Business Hour: 9.00am to 1.30pm, 5.00pm to 6.30pm
Rest day : Sunday 
Updated 10/5/2022

",
"Business Hour : 11.13am to 1.28pm, 4.38pm to 7.38pm
Rest day : Thursday Updated 21/5/2022","11.13am to 1.28pm, 4.38pm to 7.38pm"
"Business Hour : 10.30am to 3.00pm 
Rest day : Sunday 
Updated 25/5/2022",10.30am to 3.00pm
"Business Hour : 6.00am to 12.00pm 
Rest day : Monday 
Updated 21/5/2022",6.00am to 12.00pm
"Business Hour : 8.00am to 3.00pm
Rest day : Saturday
Updated 14/4/2022",8.00am to 3.00pm
"Business Hour : 8.00am to 3.00pm 
Rest day : uncertain 
Updated 17/4/2022",8.00am to 3.00pm
"Business Hour: 8.00am to 3.30pm  
Rest day: Sunday
Updated 4/5/2022",
"Business Hour : 7.00am to 3.00pm      
Rest day : Tuesday 
Updated 20/5/2022",7.00am to 3.00pm
"Business Hour : 10.30am to 7.30pm
Rest day : Wednesday & Thursday 
Updated 16/7/2022",10.30am to 7.30pm
"Business Hour : 8.00am to 1.00pm, 5.00pm to 8.00pm
Rest day : Monday 
Updated 21/5/2022","8.00am to 1.00pm, 5.00pm to 8.00pm"
"Business Hour : 10.00am to 10.00pm
Open daily
Updated 18/4/2022",10.00am to 10.00pm
"Business Hour : 11.00am to 3.00pm , 5.30pm to 10.00pm
Open daily 
Updated 31/7/2022","11.00am to 3.00pm , 5.30pm to 10.00pm"
"Business Hour : 11.00am to 9.00pm
Open daily
Updated 14/4/2022
",11.00am to 9.00pm
"Business Hour : 6.00am to 9.00am
Rest day : Sunday & Monday  
Updated 28/8/2022",6.00am to 9.00am
"Business Hour : 7.00am to 2.00pm , 5.30pm to 8.30pm Rest day : Thursday 
Updated 20/5/2022

","7.00am to 2.00pm , 5.30pm to 8.30pm"
"Business Hour : 5.30am to 12.30pm 
Rest day : 2nd & 16th of lunar month 
Updated 12/4/2022",5.30am to 12.30pm
"Business Hour : 10.30am to 2.30pm , 5.30pm to 9.00pm
Rest day : 2nd & 16th of lunar month
Updated 13/4/2022","10.30am to 2.30pm , 5.30pm to 9.00pm"
"Business Hour : 6.30am to 2.00pm, 5.00pm to 8.00pm
Rest day : Sunday, 1st Jan, 1st May & 31st Aug.
Updated 26/5/2022","6.30am to 2.00pm, 5.00pm to 8.00pm"
"Business Hour: 7.30am to 4.00pm ; Sunday 7.30am to 3.00pm 
Rest day: alternate Thursday 
Updated 13/4/2022",
"Business Hour : 11.00am to 9.00pm 
Open daily
Updated 9/4/2022",11.00am to 9.00pm
"Business Hour : 7.00am to 2.00pm 
Rest day : Friday  
Updated 9/4/2022",7.00am to 2.00pm
"Business Hour : 7.00am to 4.00pm 
Open daily 
Updated 13/4/2022",7.00am to 4.00pm
"Business Hour: 12.00pm to 10.00pm 
Rest day : Monday
Updated 8/6/2022",
"Business Hour : 4.00pm to 9.30pm 
Rest day : Friday
Updated 13/4/2022
",4.00pm to 9.30pm
"Business Hour : 4.00pm to 9.00pm
Rest day : Friday 
Updated 29/6/2022
",4.00pm to 9.00pm
"Business Hour : 7.00am to 11.00am
Rest day : Monday
Updated 17/4/2022",7.00am to 11.00am
"Business Hour : 5.00pm to 9.00pm
Rest day : Monday ( if 1st & 15th of lunar month fall on Monday, next day will be their rest day )
Updated 19/4/2022",5.00pm to 9.00pm
"Business Hour : 10.30am to 8.30pm ; Saturday 10.30am to 5.00pm
Rest day : Sunday
Updated 12/7/2022

",10.30am to 8.30pm ; Saturday 10.30am to 5.00pm
"Business Hour : 7.00am to 1.30pm   
Rest day : Monday 
Updated 25/5/2022",7.00am to 1.30pm
"Business Hour : 5.00pm to 8.30pm 
Rest day : Friday
Updated 25/5/2022",5.00pm to 8.30pm
"Business Hour : 11.30am to 7.30pm
Rest day : Monday (including 1st & 15th of lunar month) & Tuesday
Updated 29/5/2022",11.30am to 7.30pm
Business Hour : 8.00am to 4.00pm Rest day : Sunday Updated 18/4/2022,8.00am to 4.00pm
"Business Hour : 6.00am to 12.30pm 
Rest day : Sunday & Public Holidays
Updated 22/5/2022",6.00am to 12.30pm
"Business Hour : 10.30am to 8.30pm ; 1s & 15th of lunar month 8.30am to 8.30pm   
Rest day : Tuesday (if 1st & 15th of lunar month fall on Tuesday, next day will be their rest day)
Updated 21/5/2022

",10.30am to 8.30pm ; 1s & 15th of lunar month 8.30am to 8.30pm
"Business Hour : 6.45am to 7.00pm 
Rest day : 2nd, 9th, 16th & 23rd every lunar month 
Updated 12/4/2022",6.45am to 7.00pm
"Business Hour : 11.30am to 3.30pm 
Rest day : weekend & Public Holidays 
Updated  16/5/2022
",11.30am to 3.30pm
"Business Hour : 10.00am to 7.00pm 
Rest day : Tuesday  
Updated 25/4/2022",10.00am to 7.00pm
"Business Hour : 6.00am to 2.30pm 
Rest day : Monday
Updated 21/5/2022",6.00am to 2.30pm
"Business Hour : 6.00am to 1.30pm
Rest day : 1st & 3rd Thursday of the month 
Updated 21/5/2022",6.00am to 1.30pm
"Business Hour : 6.00am to 2.30pm
Rest day : Monday and Tuesday
Updated 9/6/2022",6.00am to 2.30pm
"Business Hour : 7.30am to 3.00pm 
Open daily 
Updated 20/1/2022",7.30am to 3.00pm
"Business Hour: 5.00am to 9.00am 
Open daily
Updated 25/5/2022",
"Business Hour : 6.00am to 11.00am
Open daily
Updated 25/5/2022",6.00am to 11.00am
"Business Hour : 11.00am to 8.00pm
Open daily 
Updated 30/5/2022",11.00am to 8.00pm
"Operating Hour : 8.00am to 2.30pm
Rest day : Sunday
Updated 9/6/2022",
"Business Hour : 11.00am to 10.00pm
Rest day : Monday
Updated 18/8/2022


",11.00am to 10.00pm
"Business Hour : 6.00am to 2.00pm 
Rest day : Sunday
Updated 27/5/2022",6.00am to 2.00pm
"Business Hour : 6.30am to 3.00pm 
Rest day : Monday 
Updated 26/6/2022",6.30am to 3.00pm
"Business Hour : 3.30pm to 8.30pm 
Rest day : Friday to Sunday  
Updated 25/5/2022",3.30pm to 8.30pm
"Business Hour : 5.00am to 2.00pm 
Rest day : Tuesday 
Updated 21/5/2022",5.00am to 2.00pm
"Business Hour : 9.30am to 8.00pm ; Sunday 9.30am to 6.00pm
Rest day : alternate Saturday
Updated 9/4/2022

",9.30am to 8.00pm ; Sunday 9.30am to 6.00pm
"Business Hour : 7.00am to 2.00pm   
Rest day : Friday (regardless 1st and 15th of lunar month) 
Updated 20/5/2022",7.00am to 2.00pm
"Business Hour : 7.00am to 2.30pm 
Rest day : Monday
Updated 26/5/2022",7.00am to 2.30pm
"Business Hour : 11.00am to 10.00pm 
Open dialy
Updated 4/7/2022",
"Business Hour : 4.00pm to 9.00pm 
Rest day : Sunday 
Updated 4/8/2022	",4.00pm to 9.00pm
"Business Hour : 5.00pm to 9.00pm 
Rest day : uncertain
Updated 29/5/2022",5.00pm to 9.00pm
"Business Hour : 4.30pm to 10.00pm 
Open daily 
Updated 21/5/2022",4.30pm to 10.00pm
"Business Hour : 7.15am to 2.00pm
Rest day : Sunday
Updated 22/5/2022",7.15am to 2.00pm
"Business Hour : 9.00am to 8.00pm 
Open daily 
Updated 25/5/2022",9.00am to 8.00pm
"Business Hour : 7.30am to 1.00pm , 5.30pm to 8.00pm 
Rest day : Monday 
Updated 20/5/2022
","7.30am to 1.00pm , 5.30pm to 8.00pm"
"Business Hour : 7.00am to 9.00pm 
Rest day : Sunday
Updated 25/2/2022",7.00am to 9.00pm
"Business Hour : 11.00am to 10.00pm
Rest day : Wednesday
Updated 12/7/2022",11.00am to 10.00pm
"Business Hour : 8.00am to 2.00pm 
Rest day : Monday 
Updated 29/3/2022",8.00am to 2.00pm
"Business Hour : 10.00am to 3.00pm, 4.30pm to 9.00pm
Rest day : Wednesday (If 1st & 15th of lunar month fall on Wednesday, next day will be their rest day.)
Updated 24/4/2022","10.00am to 3.00pm, 4.30pm to 9.00pm"
"Business Hour : 4.30pm to 8.30pm
Rest day : Sunday 
Updated 22/5/2022",4.30pm to 8.30pm
"Business Hour : 6.30am to 2.30pm
Rest day : Monday  
Updated 20/6/2022",6.30am to 2.30pm
"Business Hour : 6.30am to 3.00pm 
Rest day : alternate Wednesday
Updated 25/5/2022",6.30am to 3.00pm
"Business Hour : 7.30am to 2.00pm
Rest day : Tuesday
Updated 4/4/2022",7.30am to 2.00pm
"Business Hour : 6.45am to 10.45am
Rest day : The day before the 1st & 15th of lunar month
Updated 2/4/2022",6.45am to 10.45am
"Business Hour : 6.30am to 2.30pm 
Rest day: Thursday of every 2 week
Updated 21/5/2022",6.30am to 2.30pm
"Business Hour : 7.00am to 1.00pm 
Open daily 
Updated 6/4/2022",7.00am to 1.00pm
"Business Hour : 7.00am to 9.00pm
Rest day : Monday
Updated 15/3/2022",7.00am to 9.00pm
"Business Hour : 11.00am to 3.00pm, 5.30pm to 9.30pm
Rest day : Wednesday 
Updated 24/5/2022","11.00am to 3.00pm, 5.30pm to 9.30pm"
"Business Hour : 11.00am to 2.30pm, 5.00pm to 9.30pm Rest day : Wednesday (if 1st & 15th of lunar month fall on Wednesday , Friday will be their rest day )
Updated 220/8/2022



","11.00am to 2.30pm, 5.00pm to 9.30pm"
"Restaurant Hour: 9.00am to 6.00pm 
Open daily
Updated 26/5/2022",
"Business Hour: 7.00am to 3.00pm 
Rest day : Sunday
Updated 20/5/2022",
"Business Hour : 6.30am to 2.00pm 
Rest day : Sunday 
Updated 20/5/2022",6.30am to 2.00pm
"Business Hour : 11.00am to 9.00pm 
Open daily
Updated 13/4/2022",11.00am to 9.00pm
"Business Hour: 8.00am to 1.00pm 
Rest day: uncertain Updated 21/5/2022",
"Business Hour : 7.00am to 4.00pm
Rest day : Sunday 
Updated 20/5/2022
",7.00am to 4.00pm
"Business Hour : 10.00am to 9.00pm
Open daily
Updated 25/5/2022",10.00am to 9.00pm
"Business Hour: 8.00am to 4.30pm 
Open daily
Updated 22/5/2022",
"Business Hour : 7.00am to 3.00pm  
Rest day : Thursday
Updated 20/5/2022	",7.00am to 3.00pm
"Business Hour : 6.30am to 1.00pm 
Rest day : Monday 
Updated 5/4/2022",6.30am to 1.00pm
"Business Hour : 8.00am to 3.00pm , 6.00pm to 9.30pm
Rest day : Tuesday
Updated 20/5/2022","8.00am to 3.00pm , 6.00pm to 9.30pm"
"Business Hour : 10.00am to 7.00pm
Rest day : Wednesday
Updated 31/3/2022",10.00am to 7.00pm
"Business Hour : 7.30am to 2.00pm 
Rest day : Sunday 
Updated 14/4/2022	",7.30am to 2.00pm
Business Hour : 8.00am to 2.30pm ; 1st & 15th of lunar month 7.00am to 2.30pm Rest day : Saturday & Sunday Updated 19/5/2022,8.00am to 2.30pm ; 1st & 15th of lunar month 7.00am to 2.30pm
"Business Hour : 7.00am to 6.00pm ; Monday 7.00am to 3.00pm  Rest day : Tuesday 
Updated 26/5/2022",7.00am to 6.00pm ; Monday 7.00am to 3.00pm
"Business Hour: 7.00am to 2.30pm , 5.00pm to 7.30pm 
Rest day : Monday 
Updated 26/5/2022",
"Business Hour: 6.30am to 12.00pm 
Rest day: 2nd & 16th of lunar month 
Updated 19/5/2019",
"Business Hour : 8.30am to 9.00pm
Open daily
Updated 7/4/2022",8.30am to 9.00pm
"Business Hour : 5.30am to 11.30am 
Rest day : Sunday 
Updated 25/5/2022",5.30am to 11.30am
"Business Hour : 6.00am to 11.30am 
Rest day : Monday
Updated 25/5/2022",6.00am to 11.30am
"Business Hour : 6.00am to 1.00pm 
Rest day : 2nd & 16th of lunar month 
Updated 21/5/2022",6.00am to 1.00pm
"Business Hour : 6.30am to 2.00pm 
Rest day : alternate Monday 
Updated 31/5/2022",6.30am to 2.00pm
"Business Hour : 6.15am to 3.00pm 
Rest day : alternate Friday
Updated 26/5/2022	",6.15am to 3.00pm
"Business Hour : 11.30am to 3.00pm , 5.30pm to 9.30pm
Open daily
Updated 4/5/2022
 ","11.30am to 3.00pm , 5.30pm to 9.30pm"
"Business Hour : 10.00am to 3.00pm , 6.00pm to 9.00pm
Rest day : Saturday
Updated 18/5/2022","10.00am to 3.00pm , 6.00pm to 9.00pm"
"Business Hour : 5.00am to 3.00pm
Rest day : Monday 
Updated 27/5/2022",5.00am to 3.00pm
"Business Hour : 5.00am to 10.00am 
Rest day : 2 days in a month 
Updated 26/5/2022",5.00am to 10.00am
"Business Hour: 6.00am to 1.00pm
Rest day: uncertain (twice a month)
Updated 26/5/2022",
"Business Hour : 7.30am to 2.00pm , 5.30pm to 9.00pm ; 1st and 15th of lunar month 6.00am to 2.00pm , 5.30pm to 9.00pm
Rest day : Tuesday 
Updated 25/5/2022	","7.30am to 2.00pm , 5.30pm to 9.00pm ; 1st and 15th of lunar month 6.00am to 2.00pm , 5.30pm to 9.00pm"
"Business Hour : 5.30am to 12.00pm 
Rest day : uncertain
Updated 28/5/2022",5.30am to 12.00pm
"Business Hour : 7.00am to 5.30pm ; Sunday 7.00am to 3.00pm
Open daily 
Updated 28/5/2022",7.00am to 5.30pm ; Sunday 7.00am to 3.00pm
"Business Hour : 10.00am to 10.00pm
open daily
Updated 7/4/2022",
"Business Hour : 10.00am to 3.00pm, 5.30pm to 9.00pm ; 1st & 15th of lunar month 8.00am to 9.00pm Rest day : Saturday (If 1st & 15th of lunar month fall on Saturday, next day will be their rest day.)
Updated 11/5/2022

","10.00am to 3.00pm, 5.30pm to 9.00pm ; 1st & 15th of lunar month 8.00am to 9.00pm"
"Business Hour : 7.00am to 2.00pm
Rest day : Thursday
Updated 24/5/2022",7.00am to 2.00pm
"Business Hour : 8.00am to 10.00pm ; weekends 3.00pm to 10.00pm ；Monday 8.00am to 3.00pm
Open daily 
Updated 18/8/2022


",8.00am to 10.00pm ; weekends 3.00pm to 10.00pm ；Monday 8.00am to 3.00pm
"Business Hour : 9.30am to 9.30pm
Open daily 
Updated 30/4/2022",9.30am to 9.30pm
"Business Hour : 4.30pm to 10.00pm
Rest day : uncertain   
Updated 18/8/2022",4.30pm to 10.00pm
"Business Hour : 5.30pm to 9.00pm ; Friday 1.30pm to 9.00pm ; Weekends 11.30am to 9.00pm
Rest day : Wednesday (including 1st & 15th of lunar month)
Updated 15/4/2022",5.30pm to 9.00pm ; Friday 1.30pm to 9.00pm ; Weekends 11.30am to 9.00pm
"Restaurant Hour : 10.00am to 3.00pm , 4.45pm to 9.00pm 
Rest day : Monday
Updated 13/4/2022",
Business Hour : 7.30am to 3.00pm Rest day : Tuesday (Wednesday close if 1st & 15th of lunar month fall on Tuesday) Updated 20/4/2022,7.30am to 3.00pm
"Business Hour : 7.30am to 2.00pm Rest day : Monday
Updated 20/4/2022",7.30am to 2.00pm
"Business Hour : 7.30am to 1.30pm
Rest day : Sunday (including 1st & 15th of lunar month)
Updated 28/4/2022",7.30am to 1.30pm
"Business Hour : 12.00pm to 10.00pm
Rest day : Monday
Updated 28/4/2022",12.00pm to 10.00pm
"Business Hour : 11.00am to 8.30pm
Rest day : Thursday 
Updated 2/9/2022",11.00am to 8.30pm
"Business Hour : 8.00am to 7.00pm Open daily
Updated 19/5/2022",8.00am to 7.00pm
Business Hour : 5.00am to 11.30am Rest day : Wednesday & Thursday Updated 20/4/2022,5.00am to 11.30am
Business Hour : 8.00am to 5.00pm Rest day : Sunday (Monday close if 1st & 15th of lunar month fall on Sunday) Updated 5/1/2022,8.00am to 5.00pm
"Business Hour : 7.00am to 2.00pm
Rest day : Weekends 
Updated 12/4/2022",7.00am to 2.00pm
"Business Hour : 12.00pm to 8.30pm
Open daily  
Updated 4/5/2022",12.00pm to 8.30pm
"Business Hour : 11.00am to 2.30pm , 6.00pm to 9.30pm
Rest day : Thursday    
Updated 24/3/2022
","11.00am to 2.30pm , 6.00pm to 9.30pm"
"Business Hour : 9.00am to 3.00pm Rest day : Monday (If 1st & 15th of lunar month fall on Monday, next day will be their rest day.)
Updated 26/5/2022",9.00am to 3.00pm
Business Hour : 6.00am to 2.00pm Rest day : uncertain (once a week on weekdays) Updated 9/6/2022,6.00am to 2.00pm
"Business Hour : 7.00am to 11.30am
Rest day : Thursday (including 1st & 15th of lunar month)
Updated 9/6/2022",7.00am to 11.30am
"Business Hour : 5.00pm to 9.30pm Rest day : Saturday & Sunday (including 1st & 15th of lunar month)
Updated 22/5/2022",5.00pm to 9.30pm
"Business Hour : 7.00am to 10.30am Rest day : Friday 
Updated 6/5/2022",7.00am to 10.30am
"Business Hour : 10.30am to 2.15pm, 5.15pm to 9.00pm 
Rest day : uncertain (one day of a month)
Updated 22/5/2022","10.30am to 2.15pm, 5.15pm to 9.00pm"
"Business Hour : 7.30am to 3.30pm 
Open daily 
Updated 29/3/2022
",7.30am to 3.30pm
"Business Hour : 10.30am to 3.00pm , 5.30pm to 10.00pm
Rest day : Wednesday
Updated 15/4/2022","10.30am to 3.00pm , 5.30pm to 10.00pm"
"Business Hour : 6.00am to 11.00am
Rest day : Tuesday
Updated 18/7/2022",6.00am to 11.00am
"Business Hour : 7.00am to 12.45pm Rest day : Sunday
Updated 26/5/2022",7.00am to 12.45pm
"Restaurant Hour : 11.00am to 9.30pm
Open daily
Updated 13/4/2022",
"Business Hour : 7.00am to 3.00pm
Rest day : Saturday
Updated 18/8/2022",7.00am to 3.00pm
"Business Hour : 7.30am to 1.30pm  
Rest day : Wednesday
Updated 18/4/2022",7.30am to 1.30pm
"Business Hour : 10.00am to 2.30pm , 5.30pm to 9.30pm ; 1st & 15th of lunar month 8.00am to 2.30pm , 5.30pm to 9.30pm
Rest day : Wednesday
Updated 19/4/2022
","10.00am to 2.30pm , 5.30pm to 9.30pm ; 1st & 15th of lunar month 8.00am to 2.30pm , 5.30pm to 9.30pm"
"Business Hour : 11.30am to 2.00pm , 5.00pm to 10.00pm 
Rest day : Monday
Updated 13/4/2022

","11.30am to 2.00pm , 5.00pm to 10.00pm"
"Business Hour : 11.00am to 9.00pm  
Open daily
Updated 25/4/2022",11.00am to 9.00pm
"Business Hour : only open on Sunday , 1st & 15th of lunar month 6.00am to 9.00am 
Updated 13/4/2022",
"Business Hour : 7.00am to 2.00pm Rest day: Wednesday
Updated 21/5/2022",7.00am to 2.00pm
"Business Hour : 7.00pm to 10.00pm Open daily 
Updated 25/5/2022",7.00pm to 10.00pm
"Business Hour : 6.00am to 1.30pm Rest day : Monday (If 1st & 15th of lunar month fall on Monday, next day will be their rest day.)
Updated 21/5/2022",6.00am to 1.30pm
"Business Hour : 6.30am to 2.00pm 
Rest day : Wednesday Updated 14/2/2022",6.30am to 2.00pm
"Business Hour : 7.00am to 2.00pm Rest day : Sunday
Updated 24/5/2022",7.00am to 2.00pm
"Business Hour : 6.30am to 11.00am Rest day : Tuesday (If 1st & 15th of lunar month fall on Tuesday, next day will be their rest day.)
Updated 19/6/2022",6.30am to 11.00am
"Business Hour : 7.00am to 5.00pm
Rest day : 1st week of Monday & 2nd week of Tuesday 
Updated 8/9/2022",7.00am to 5.00pm
"Business Hour : 10.00am to 9.00pm
Rest day : Sunday
Updated 29/3/2022	",10.00am to 9.00pm
