linkDescription,hours
"Business Hour : 7.30am to 4.00pm 
Rest day : Monday (if 1st & 15th of lunar month fall on Monday , next day will be their rest day)
Updated 15/4/2022",7.30am to 4.00pm
"Business Hour : 8.00am to 2.00pm 
Rest day : Thursday 
Updated 18/5/2022",8.00am to 2.00pm
"Business Hour : 7.00am to 11.30am Rest day : alternate Thursday (including 1st & 15th of lunar month)
Updated 11/4/2022",7.00am to 11.30am
"Business Hour : 11.30am to 5.30pm 
Rest day : Thursday 
Updated 28/3/2022",11.30am to 5.30pm
"Business Hour : 11.30am to 5.00pm
Rest day : Monday 
Updated 16/4/2022",11.30am to 5.00pm
Business Hour : Monday to Wednesday and 1st & 15th of lunar month 10.00am to 3.00pm Rest day : Thursday to Sunday Updated 4/5/2022,Monday to Wednesday and 1st & 15th of lunar month 10.00am to 3.00pm
"Business Hour : 12.00pm to 7.00pm ; 1st & 15th of lunar month 6.30am to 7.00pm 
Rest day : uncertain Friday 
Updated 4/5/2022",12.00pm to 7.00pm ; 1st & 15th of lunar month 6.30am to 7.00pm
"Business Hour : 6.00am to 1.30pm
Rest day : Sunday , Public Holidays , 2nd & 16th of lunar month
Updated 14/4/2022",6.00am to 1.30pm
"Business Hour : 6.30am to 2.00pm 
Rest day : Monday 
Updated 14/4/2022
",6.30am to 2.00pm
"Business Hour : 11.00am to 2.30pm , 5.30pm to 9.00pm 
Rest day : Wednesday 
Updated 1/4/2022
","11.00am to 2.30pm , 5.30pm to 9.00pm"
"Business Hour: 6.00am to 9.00am 
Rest day : Monday 
Updated 7/4/2022	",
"Business Hour ：7.30am to  3.00pm , 6.00pm to 8.00pm
Rest day ：Monday
Updated 24/4/2022",
"Business Hour : 7.30am to 3.30pm
Rest day : Tuesday & Sunday
Updated 7/4/2022",7.30am to 3.30pm
"Business Hour : 8.00am to 3.00pm 
Rest day : Sunday 
Updated 8/4/2022	",8.00am to 3.00pm
"Business Hour : 7.30am to 3.30pm
Open daily 
Update 29/3/2022",7.30am to 3.30pm
"Business Hour : 10.30am to 2.30pm , 5.30pm to 9.30pm Rest day : Monday 
Updated 20/5/2022","10.30am to 2.30pm , 5.30pm to 9.30pm"
"Business Hour : 11.30am to 3.00pm , 6.00pm to 10.00pm ; Weekends , 1st & 15th of lunar month 11.00am to 3.00pm , 5.00pm to 10.00pm 
Rest day : Tuesday ( if 1st & 15th of lunar month fall on Tuesday, next day will be their rest day ) 
Updated 7/9/2022





","11.30am to 3.00pm , 6.00pm to 10.00pm ; Weekends , 1st & 15th of lunar month 11.00am to 3.00pm , 5.00pm to 10.00pm"
"Business Hour : 6.30am to 9.30pm
Rest day : Tuesday
Updated 15/7/2022",6.30am to 9.30pm
"Business Hour :  6.45am to 2.00pm, 5.30pm to 8.30pm
Rest day : Monday & Friday (If 1st & 15th of lunar month fall on Monday & Friday, next day will be their rest day.)
Updated 9/7/2022","6.45am to 2.00pm, 5.30pm to 8.30pm"
"Business Hour : 7.00am to 3.00pm 
Rest day : Sunday
Updated 4/4/2022",7.00am to 3.00pm
"Business Hour : 8.30am to 4.00pm Rest day : Monday (If 1st & 15th of lunar month fall on Monday, next day will be their rest day.)
Updated 18/5/2022",8.30am to 4.00pm
"Business Hour : 6.00am to 2.00pm 
Rest day: Sunday
Updated 20/4/2022",6.00am to 2.00pm
"Business Hour : 3.00pm to 9.00pm 
Rest day : Saturday, the day before 1st & 15th of lunar month
Updated 17/4/2022

",3.00pm to 9.00pm
"Business Hour : 9.00am to 9.30pm
Open daily
Updated  9/4/2022",9.00am to 9.30pm
"Business Hour : 7.30am to 3.00pm
Rest day : Tuesday (if 1st & 15th of lunar month fall on Tuesday, next day will be their rest day) 
Updated 7/3/2022",7.30am to 3.00pm
"Business Hour : 6.45am to 1.30pm 
Rest day : Monday
Updated 4/5/2022",6.45am to 1.30pm
"Business Hour : 7.00am to 2.30pm
Rest day : alternate Thursday 
Updated 4/3/2022",7.00am to 2.30pm
"Business Hour : 6.30am to 2.00pm  
Rest day : Monday  
Updated 17/4/2022
",6.30am to 2.00pm
"Business Hour : 7.00am to 12.00pm 
Rest day : 2nd & 16th of lunar month  
Updated 24/4/2022",7.00am to 12.00pm
Business Hour : 11.00am to 3.00pm Rest day : Monday to Friday Updated 11/1/2022,11.00am to 3.00pm
"Business Hour : 6.45am to 9.00am 
Rest day : Monday , Saturday & alternate Sunday 
Updated 24/3/2022
",6.45am to 9.00am
"Business Hour : 10.00am to 3.00pm 
Rest day : Sunday 
Updated 12/4/2022",10.00am to 3.00pm
"Business Hour : 7.00am to 2.30pm
Rest day : Thursday 
Updated 20/1/2022",7.00am to 2.30pm
"Business Hour : 9.00am to 3.00pm , 6.00pm to 10.00pm ; 1st & 15th of lunar month 7.00am to 3.00pm , 6.00pm to 10.00pm 
Rest day : alternate Wednesday & Thursday Updated 28/4/2022","9.00am to 3.00pm , 6.00pm to 10.00pm ; 1st & 15th of lunar month 7.00am to 3.00pm , 6.00pm to 10.00pm"
"Business Hour : 10.00am to 8.30pm
Rest day : Tuesday
Updated 20/4/2022",10.00am to 8.30pm
"Business Hour : 10.00am to 2.30pm , 5.00pm to 8.30pm 
Rest day : Wednesday (if 1st & 15th of lunar month fall on Wednesday , next day will be their rest day)
Updated 17/4/2022","10.00am to 2.30pm , 5.00pm to 8.30pm"
"Business Hour: 7.00am to 1.00pm  
Open daily 
Updated 17/4/2022",
"Business Hour: 11.00am to 2.30pm, 5.00pm to 9.30pm 
Rest day : Tuesday  
Updated 17/4/2022",
"Business Hour : only open on Tuesday to Thursday 7.00am to 12.00pm ; 1st & 15th of lunar month 6.00am to 12.00pm  
Updated 1/5/2022",
"Business Hour : 7.00am to 3.00pm 
Rest day : Sunday 
Updated 17/4/2022",7.00am to 3.00pm
"Business Hour : 7.00am to 3.00pm 
Rest day : Sunday 
Updated 17/4/2022",7.00am to 3.00pm
"Business Hour : 7.00am to 2.30pm 
Rest day : Sunday
Updated 17/4/2022",7.00am to 2.30pm
"Business Hour : 6.00am to 2.00pm 
Rest day : Saturday 
Updated 17/4/2022",6.00am to 2.00pm
"Business Hour : 8.00am to 4.30pm
Rest day : Tuesday 
Updated 23/6/2022",8.00am to 4.30pm
"Business Hour : 6.30am to 2.30pm 
Rest day : Sunday
Updated 26/4/2022	",6.30am to 2.30pm
"Business Hour : 7.00am to 2.00pm,
Rest day : Saturday
Updated 16/8/2022","7.00am to 2.00pm,"
"Business Hour : 8.30am to 3.30pm
Rest day : Wednesday
Updated 12/4/2022",8.30am to 3.30pm
Business Hour : 7.00am to 12.00pm Rest day : Monday Updated 17/5/2022,7.00am to 12.00pm
"Business Hour :  7.30am to 3.00pm
Rest day : weekends
Updated 13/4/2022
",7.30am to 3.00pm
"Business Hour : 10.00am to 1.30pm , 5.30pm to 8.15pm 
Rest day : Wednesday 
Updated 3/4/2022
","10.00am to 1.30pm , 5.30pm to 8.15pm"
"Business Hour : 7.00am to 2.30pm 
Rest day: uncertain (off 3 to 4 days after every 15th of lunar month)
Updated 12/4/2022",7.00am to 2.30pm
"Business Hour : 10.00am to 8.00pm 
Rest day : Tuesday 
Updated 3/4/2022",10.00am to 8.00pm
"Servicing Hour : 8.30am to 2.00pm 
Rest day : Monday 
updated 17/5/2022
",
"Business Hour : 7.30am to 12.00pm
Rest day : Monday
Updated 26/8/2022",7.30am to 12.00pm
"Business Hour : 5.00pm to 10.00pm ; weekend 12.00pm to 10.00pm
Rest day : Monday, Tuesday & Wednesday 
Updated 1/8/2022

",5.00pm to 10.00pm ; weekend 12.00pm to 10.00pm
"Business Hour : 10.30am to 8.30pm ; 1st & 15th of lunar month 8.30am to 8.30pm 
Rest day : Saturday
Updated 27/3/2022",10.30am to 8.30pm ; 1st & 15th of lunar month 8.30am to 8.30pm
"Business Hour : 10.00am to 3.00pm , 5.00pm to 9.00pm
Rest day : Wednesday
Updated 31/3/2022","10.00am to 3.00pm , 5.00pm to 9.00pm"
"Business Hour : 7.00am to 2.00pm 
Rest day : Sunday   
Updated 25/4/2022	",7.00am to 2.00pm
"Business Hour : 7.40am to 12.30pm
Rest day : Thursday, 2nd & 16th of lunar month  
Updated 19/3/2022",7.40am to 12.30pm
"Business Hour : 9.00am to 3.20pm , 5.00pm to 9.30pm
Open daily 
Updated 22/5/2022","9.00am to 3.20pm , 5.00pm to 9.30pm"
"Business Hour : 6.30am to 2.00pm
Rest day : Sunday
Updated 23/5/2022",6.30am to 2.00pm
"Business Hour : 7.30am to 4.00pm ; Sunday 7.30am to 2.30pm ; 1st & 15th of lunar month 6.30am to 4.00pm
Open daily
Updated 25/4/2022",7.30am to 4.00pm ; Sunday 7.30am to 2.30pm ; 1st & 15th of lunar month 6.30am to 4.00pm
"Business Hour: 9.00am to 6.30pm ; Monday 9.00am to 2.30pm
Rest day : Tuesday
Updated 27/4/2022

",
"Business Hour : 10.00am to 3.00pm 
Rest day : Friday & Saturday  
Updated 13/4/2022",10.00am to 3.00pm
"Business Hour : 6.30am to 2.00pm 
Rest day : Sunday
Updated 28/5/2022",6.30am to 2.00pm
"Business Hour : 10.30am to 3.00pm , 5.15pm to 9.00pm Rest day : Friday 
Updated 10/4/2022	

","10.30am to 3.00pm , 5.15pm to 9.00pm"
"Business Hour : 7.00am to 7.00pm
Rest day : Sunday 
Updated 20/4/2022",7.00am to 7.00pm
"Business Hour : 6.30am to 2.00pm 
Rest day : alternate Wednesday
Updated 18/5/2022",6.30am to 2.00pm
"Business Hour : 7.00am to 2.30pm
Rest day : Sunday
Updated 23/5/2022",7.00am to 2.30pm
"Business Hour : 11.30am to 8.00pm 
Rest day : alternate Monday 
Updated 10/4/2022
 


",11.30am to 8.00pm
"Business Hour : 11.00am to  8.30pm ; 1st & 15th of lunar month 8.00am to 8.30pm 
Rest day : Thursday 
Updated 20/4/2022	",11.00am to  8.30pm ; 1st & 15th of lunar month 8.00am to 8.30pm
"Business Hour : 11.00am to 3.00pm , 5.30pm to 9.00pm Open daily 
Updated 20/4/2022

","11.00am to 3.00pm , 5.30pm to 9.00pm"
"Business Hour : 7.00am to 1.30pm 
Rest day : Monday 
Updated 19/4/2022",7.00am to 1.30pm
"Business Hour : 10.00am to 10.00pm 
Open daily 
Updated 20/5/2022",10.00am to 10.00pm
"Business Hour : 11.00am to 7.45pm 
Rest day : Friday 
Updated 18/4/2022",11.00am to 7.45pm
"Business Hour :  7.00am to 3.00pm ; 1st & 15th of lunar month 7.00am to 3.00pm, 5.00pm to 8.30pm  
Rest day : Wednesday
Updated 11/8/2022
","7.00am to 3.00pm ; 1st & 15th of lunar month 7.00am to 3.00pm, 5.00pm to 8.30pm"
