original_request_url,time,reaction_count,scrape
https://www.facebook.com/groups/781347675284086/permalink/5652133411538797,2022-05-17 02:24:08,11.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/1530267160392130,2017-11-18 09:28:28,42.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/858635580888628,2015-07-08 05:55:22,204.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/1458254557593391,2017-08-28 15:15:18,43.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/1085968741488643,2016-08-17 05:08:51,223.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/4537951909623625,2021-05-27 06:59:27,14.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/2065594780192696,2019-02-02 07:13:55,39.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/1425039554248225,2017-07-22 11:55:41,34.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/1362794200472761,2017-05-22 07:23:38,18.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/2306227309462774,2019-07-01 01:54:38,67.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/2517073111711525,2019-10-23 07:17:56,2.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/5369046599847481,2022-02-03 14:03:22,35.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/1703053453113499,2018-05-15 15:21:00,6.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/5589816431103829,2022-04-24 12:40:34,735.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/2121658697919637,2019-03-11 02:30:23,12.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/2417531254999045,2019-09-02 05:14:54,19.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/988936134525238,2016-03-20 06:20:05,28.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/1815555768529933,2018-08-07 03:29:17,53.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/4971712856247526,2021-10-20 08:57:10,107.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/5670209209731217,2022-05-23 01:52:56,20.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/1061218193963698,2016-07-11 11:20:57,40.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/1446796205405893,2017-08-15 04:54:52,20.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/5745240388894765,2022-06-18 03:29:50,231.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/4474694425949374,2021-05-06 04:52:19,46.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/5827087110710092,2022-07-17 04:11:23,17.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086/permalink/897842536967932,2015-09-25 15:41:51,62.0,2022-09-15 07:24:17.219707
https://www.facebook.com/groups/781347675284086//permalink/1946254992126676,2022-07-06 07:43:13,165.0,2022-09-15 07:24:17.219741
